Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.012,18.152048110961914,3.2500145435333252,3.2567627429962158,-128.35986328125,-32.5986328125,18.259103775024414,12.598976135253906,-96.491859436035156,0
30.016,19.605545043945312,4.652040958404541,4.0443978309631348,-128.95951843261719,-31.355459213256836,19.56695556640625,13.747512817382812,-96.180587768554688,0
30.02,19.565423965454102,5.191403865814209,4.5355391502380371,-128.1270751953125,-30.293222427368164,20.390331268310547,14.581110954284668,-95.290611267089844,0
30.024,18.039821624755859,4.6950139999389648,4.4778823852539062,-127.814697265625,-29.818019866943359,20.5037841796875,14.763989448547363,-94.795761108398438,0
30.028,17.496089935302734,4.4647445678710938,4.456904411315918,-127.14952087402344,-29.736904144287109,20.023706436157227,14.299695014953613,-95.3388671875,0
30.032,13.879676818847656,3.089707612991333,3.6799190044403076,-126.42256927490234,-30.033931732177734,19.082681655883789,13.2686767578125,-94.482223510742188,0
30.036,12.810453414916992,2.9591667652130127,3.3214583396911621,-126.31160736083984,-30.232015609741211,18.498729705810547,12.481672286987305,-93.942405700683594,0
30.04,12.009786605834961,3.1430659294128418,3.1142477989196777,-125.24532318115234,-30.001058578491211,18.423854827880859,12.199650764465332,-92.781654357910156,0
30.044,12.307500839233398,3.7813999652862549,3.1009020805358887,-125.08197021484375,-29.526754379272461,18.854944229125977,12.440587997436523,-91.832054138183594,0
30.048,15.914202690124512,5.5702691078186035,3.854062557220459,-124.90401458740234,-28.727148056030273,19.579610824584961,12.937522888183594,-92.23651123046875,0
30.052,16.937191009521484,5.881136417388916,4.0502462387084961,-124.45192718505859,-28.031747817993164,19.973489761352539,13.108749389648438,-91.5303955078125,0
30.056,18.856500625610352,6.2693243026733398,4.1927361488342285,-123.64205169677734,-27.564783096313477,20.119283676147461,13.008842468261719,-90.438095092773438,0
30.06,18.365289688110352,5.4526543617248535,3.7941303253173828,-121.12492370605469,-27.400583267211914,19.895593643188477,12.547335624694824,-87.917831420898438,0
30.064,16.508661270141602,3.8642666339874268,3.1455028057098389,-119.57021331787109,-27.519542694091797,19.631679534912109,12.18956470489502,-85.518051147460938,0
30.068,16.84320068359375,3.3871200084686279,3.1620540618896484,-118.15438079833984,-27.348892211914062,19.657375335693359,12.239941596984863,-84.724937438964844,0
30.072,15.390994071960449,2.6220390796661377,2.903792142868042,-116.72772216796875,-26.990276336669922,19.75439453125,12.344096183776855,-83.7032470703125,0
30.076,16.545888900756836,3.3975830078125,3.189164400100708,-116.25197601318359,-26.291784286499023,20.197124481201172,12.719212532043457,-84.0379638671875,0
30.08,16.158117294311523,3.8782401084899902,3.1828575134277344,-115.63278961181641,-25.551412582397461,20.471099853515625,12.88145923614502,-84.365394592285156,0
30.084,14.441309928894043,4.0359182357788086,2.5925936698913574,-116.30780029296875,-25.408990859985352,20.303369522094727,12.568336486816406,-85.04718017578125,0
30.088,15.084027290344238,5.4057631492614746,2.5687172412872314,-116.74015045166016,-25.262660980224609,20.149362564086914,12.290425300598145,-86.969284057617188,0
30.092,13.771718978881836,5.8654799461364746,2.5217597484588623,-116.96566009521484,-24.917984008789062,20.040283203125,12.23572826385498,-88.345932006835938,0
30.096,14.561574935913086,6.9688324928283691,3.130997896194458,-117.46293640136719,-24.357793807983398,20.124197006225586,12.560750961303711,-90.709266662597656,0
30.1,13.853045463562012,7.2331328392028809,3.5872626304626465,-116.66339111328125,-23.755233764648438,20.07257080078125,12.847038269042969,-92.43634033203125,0
30.104,11.77226734161377,6.5850057601928711,3.5597381591796875,-116.63338470458984,-23.530288696289062,19.828969955444336,12.972738265991211,-93.75091552734375,0
30.108,11.180827140808105,6.4111738204956055,3.710975170135498,-116.683349609375,-23.364095687866211,19.566509246826172,12.984553337097168,-95.576576232910156,0
30.112,8.1870708465576172,5.1854758262634277,3.2270514965057373,-117.73392486572266,-23.324920654296875,19.139455795288086,12.644734382629395,-96.503646850585938,0
30.116,7.8050994873046875,4.9922003746032715,3.0250823497772217,-120.34590911865234,-23.347412109375,18.733261108398438,12.186857223510742,-98.59564208984375,0
30.12,6.4263014793395996,4.2042746543884277,2.5017783641815186,-121.54750823974609,-23.535425186157227,17.918191909790039,11.330389022827148,-100.18377685546875,0
30.124,4.2626166343688965,2.7828266620635986,1.5875324010848999,-122.40657806396484,-24.055414199829102,16.8248291015625,10.218701362609863,-101.03709411621094,0
30.128,4.5868773460388184,2.4218635559082031,1.2505481243133545,-122.22597503662109,-24.223108291625977,15.979515075683594,9.3508024215698242,-102.14227294921875,0
30.132,3.0291132926940918,1.421378493309021,0.54936677217483521,-122.11407470703125,-24.184289932250977,15.183454513549805,8.5959911346435547,-102.43752288818359,0
30.136,3.7803223133087158,1.5477113723754883,0.20926828682422638,-123.4732666015625,-24.119268417358398,14.586164474487305,8.0549144744873047,-104.06636810302734,0
30.14,3.1255772113800049,1.1728206872940063,-0.31716245412826538,-124.37203216552734,-24.110668182373047,13.823888778686523,7.3663063049316406,-105.62396240234375,0
30.144,1.3759820461273193,0.19357216358184814,-1.2270799875259399,-126.05574798583984,-24.4080810546875,12.767642021179199,6.5169234275817871,-107.18129730224609,0
30.148,1.7848657369613647,0.12860329449176788,-1.6449553966522217,-127.63816070556641,-24.488790512084961,11.811810493469238,5.936220645904541,-109.4588623046875,0
30.152,-0.1119556650519371,-0.95199614763259888,-2.3646934032440186,-129.78523254394531,-24.362625122070312,10.89836597442627,5.5957756042480469,-110.98537445068359,0
30.156,-0.073933824896812439,-1.1695989370346069,-2.5928478240966797,-133.05490112304688,-24.085933685302734,10.194888114929199,5.6422767639160156,-113.70566558837891,0
30.16,-1.2501417398452759,-1.5361188650131226,-2.851837158203125,-134.77487182617188,-23.83966064453125,9.3777494430541992,5.6134786605834961,-115.7222900390625,0
30.164,-2.9789676666259766,-2.0228919982910156,-3.3354358673095703,-135.83573913574219,-23.947153091430664,8.333857536315918,5.2286262512207031,-116.59716796875,0
30.168,-2.0716660022735596,-1.4300181865692139,-3.2277126312255859,-135.34135437011719,-23.913177490234375,7.4044599533081055,4.702143669128418,-117.36849212646484,0
30.172,-2.8946526050567627,-1.5909589529037476,-3.187117338180542,-133.96603393554688,-23.709270477294922,6.747218132019043,4.1255455017089844,-116.96146392822266,0
30.176,-1.2016006708145142,-0.61245250701904297,-2.2695839405059814,-132.6590576171875,-23.139251708984375,6.782313346862793,3.9528999328613281,-117.09336853027344,0
30.18,-0.30932968854904175,0.18977563083171844,-1.0390170812606812,-129.9603271484375,-22.093801498413086,7.210695743560791,4.0886077880859375,-116.25533294677734,0
30.184,-0.30584725737571716,0.55175387859344482,0.014212642796337605,-128.0137939453125,-21.119085311889648,7.617856502532959,4.2835454940795898,-115.33914947509766,0
30.188,0.67568302154541016,1.2880258560180664,1.0810678005218506,-126.71273040771484,-20.324386596679688,7.6438179016113281,4.2494063377380371,-116.10440826416016,0
30.192,-1.7579708099365234,0.46084016561508179,0.98876351118087769,-126.99257659912109,-20.113739013671875,6.8702445030212402,3.6562914848327637,-116.9368896484375,0
30.196,-2.2397918701171875,0.20797750353813171,0.72772997617721558,-128.869873046875,-20.411615371704102,5.7132668495178223,2.8340961933135986,-118.50840759277344,0
30.2,-3.5075836181640625,-0.36701813340187073,0.32962766289710999,-129.39277648925781,-20.676864624023438,4.5001015663146973,1.9333829879760742,-118.36428070068359,0
30.204,-5.368314266204834,-1.081046462059021,-0.040688890963792801,-129.7655029296875,-20.779760360717773,3.6537513732910156,1.3104016780853271,-116.69378662109375,0
30.208,-5.8972816467285156,-1.1665521860122681,-0.015900442376732826,-129.07328796386719,-20.683589935302734,3.0614464282989502,0.873893141746521,-115.04905700683594,0
30.212,-9.5220470428466797,-2.5782012939453125,-0.69378679990768433,-128.19926452636719,-20.796066284179688,2.2509887218475342,0.15374727547168732,-112.65927886962891,0
30.216,-10.513752937316895,-2.8415641784667969,-0.85087138414382935,-128.59614562988281,-20.777645111083984,1.787889838218689,-0.29788798093795776,-111.89599609375,0
30.22,-11.252737045288086,-2.7944023609161377,-0.7000654935836792,-128.57612609863281,-20.21697998046875,1.7729260921478271,-0.20528466999530792,-111.46604919433594,0
30.224,-11.335851669311523,-2.2658073902130127,-0.47418040037155151,-129.09895324707031,-19.337444305419922,2.1913504600524902,0.52740401029586792,-111.27390289306641,0
